id,firstname,lastname,email,role,created_on,last_login
1,Jean,Boyat,jeanboyat@me.com,admin,2018-06-01 12:20:05,2022-04-18 02:24:56
2,Ernest,Dupuis,ernestd@gmail.com,moderator,2019-03-18 12:17:04,2022-08-19 10:03:10
3,Alexandra,Sablet,alexandras@hotmail.com,customer,2020-09-28 12:17:48,2022-06-02 09:20:23
5,Lionel,Fontet,lionelfontet@hotmail.com,customer,2021-12-11 12:17:25,2022-04-11 00:12:09
6,Damien,Pic,damienpic@hotmail.com,customer,2021-09-18 12:19:29,2022-01-19 13:12:04
7,Matt,Wood,mattwood@hotmail.com,customer,2021-01-07 12:20:54,2021-04-05 15:07:00
8,Kevin,Toll,kevintoll@me.com,customer,2021-05-04 12:20:54,2022-09-08 23:01:10
9,Lou,Dumont,loudumont@free.fr,customer,2021-03-02 08:20:54,2022-10-18 09:40:01
10,Lionel,Poski,poski@sogetthis.com,customer,2020-03-02 09:21:54,2022-10-18 10:40:01
11,Serge,Polito,spolito@gmail.com,customer,2021-01-29 08:21:54,2022-02-15 04:09:10
12,Sandra,Fernandez,sandraf@icloud.com,customer,2020-02-27 18:20:55,2021-01-17 11:00:00
13,Thomas,Petit,thomasp13@gmail.com,moderator,2020-09-21 13:21:54,2022-06-21 12:03:01
14,Tristan,Diterlizzi,tristanditerlizzi@gmail.com,customer,2021-04-12 13:22:55,2022-05-18 13:01:05
15,Karine,Jagnot,karinej45@hotmail.com,customer,2020-05-24 13:02:22,2022-04-27 14:00:05
16,Alex,Koben,akoben@suremail.info,customer,2020-09-24 15:01:22,2022-06-28 14:08:03
17,Oliver,Sanchez,sanchez123@notmailinator.com,customer,2020-09-28 11:16:47,2022-09-01 10:21:24
18,Olivier,Prévot,oli210@me.com,customer,2021-12-23 14:01:12,2022-09-21 14:04:05
19,Mohamed,Boli,mohamedb@gmail.com,customer,2020-02-29 17:26:24,2022-01-18 15:01:04
20,Jerome,Dufour,jeromedf@gmail.com,customer,2021-03-23 13:23:00,2021-03-24 16:00:22
21,François-Xavier,Lucy,francois-xavier.lucy@gmail.com,customer,2021-08-01 08:00:33,2022-09-20 03:03:12
22,Élodie,Lorca,elodie.lorca@hotmail.com,customer,2021-12-08 07:03:22,2022-05-14 13:40:05
23,Marc,Cabro,marc.cabro@hotmail.com,customer,2020-11-30 19:01:03,2022-08-24 14:00:04
24,Tobias,Hermann,tobias795@gmail.com,customer,2021-12-02 22:21:07,2022-08-27 14:05:06
